,number,author,life,title,width,height,image_url,wall,position,image_path
1108,857 ,Subleyras pierre, (1699-1749). ,la messe de saint basile   ,139.0,102.0,https://upload.wikimedia.org/wikipedia/commons/b/be/Pierre_Subleyras_-_Mass_of_St_Basil_-_WGA21955.jpg,N,XVI,data/images_paintings/1108.jpg
1109,858 ,Subleyras pierre, (1699-1749). ,l'empereur théodose recevant la bénédiction de saint ambroise,,,,N,XVI,
1110,859 ,Subleyras pierre, (1699-1749). ,saint benoît ressuscitant un entant,,,,N,XVI,
1111,861 ,Subleyras pierre, (1699-1749). ,le faucon conte de la fontaine,,,,N,XVI,
1112,863 ,Taraval hugues, (1729-17851. ,le triomphe d'amphitrite,227.0,325.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002590/92ee1887.jpg,,S des La Tour de St-Quentin,data/images_paintings/1112.jpg
1113, ,Taraval hugues, (1729-17851. ,l'automne ou le triomphe de bacchus plafond,,,,,Galerie d'Apollon,
1114,S N ,Tassaert octave, (1800-1874). ,une famille malheureuse    ,78.5,114.0,,,Musée Charles X S III,
1115, ,Ternante amédée lemaire de, (né vers 1835-? ) ,portrait en pied de marie dé médicis d'après f porbus ii',,,,,S de la Colonnade,
1116,S N ,Thiénon claude , 1772?-1846).—Paysage ,italien,,,,E,XVI,
1117,867 ,Tocqué louis, i 1696-1772). ,portrait de marie leczinska reine de france,191.0,277.0,https://upload.wikimedia.org/wikipedia/commons/e/eb/Louis_Tocqu%C3%A9_-_Marie_Leczinska%2C_Queen_of_France_-_WGA22997.jpg,O,XVI,data/images_paintings/1117.jpg
1118,868 ,Tocqué louis, i 1696-1772). ,portrait de louis de france dauphin fils de louis xv à l'âge de ro ans,,,,N,XVI,
1119,868 a ,Tocqué louis, i 1696-1772). ,portrait de m danger,,,,S,XVI,
1120,207 t,Toulouse lautrec henri de, (1864-1901). ,la clownesse melle cha u ka o,,,,,Musée Charles X S III,
1121,S N ,Toulouse lautrec henri de, (1864-1901). ,portrait de paul leclerq,,,,,S des dessins XIXe,
1122,879 ,Tournemine charles emile de, (1814-1873). ,eléphants d'afrique,178.0,88.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Elephants_d_Afrique-Charles-Emile_de_Tournemine-IMG_8136.JPG/1200px-Elephants_d_Afrique-Charles-Emile_de_Tournemine-IMG_8136.JPG,,E F XIXe S 2e étage II,data/images_paintings/1122.jpg
1123,880 ,Tournemine charles emile de, (1814-1873). ,habitations turques près adalia asie mineure,,,,,E F XIXe S 2e étage II,
1124,883 ,Troy jean françois de, (1679-1752). ,premier chapitre de l'ordre du saint esprit tenu par henri iv dans l'église du couvent des grandsaugustins à paris le 8 janvier 1595,,,,S,XVI,
1125,889 ,Troyon constant, (1810-1865). ,bœufs se rendant au labour effet du matin,,,,E,VIII,
1126,890 ,Troyon constant, (1810-1865). ,le retour à la ferme,261.0,391.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002660/15-511717.jpg,E,VIII,data/images_paintings/1126.jpg
1127,2906 ,Troyon constant, (1810-1865). ,l'abreuvotr,,,,,T T,
1128,2907 ,Troyon constant, (1810-1865). ,la provende des poules,70.5,51.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002649/11-531236.jpg,,T T,data/images_paintings/1128.jpg
1129,2908 ,Troyon constant, (1810-1865). ,troupeau de moutons,27.5,38.3,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002650/09-583438.jpg,,T T,data/images_paintings/1129.jpg
1130,2909 ,Troyon constant, (1810-1865). ,le matin,32.0,41.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002652/95-014157.jpg,,T T,data/images_paintings/1130.jpg
1131,2910 ,Troyon constant, (1810-1865). ,vaches à l'abreuvoir,31.7,40.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002645/95-014156.jpg,,T T,data/images_paintings/1131.jpg
1132,2911 ,Troyon constant, (1810-1865). ,le petit troupeau,92.0,73.0,https://upload.wikimedia.org/wikipedia/commons/5/5c/Constant_Troyon_-_Return_of_the_Herd_-_WGA23097.jpg,,T T,data/images_paintings/1132.jpg
1133,2912 ,Troyon constant, (1810-1865). ,le passage du gué,165.0,115.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002658/10-517423.jpg,,T T,data/images_paintings/1133.jpg
1134,2913 ,Troyon constant, (1810-1865). ,la gardeuse de dindons,25.5,33.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002646/18-537422.jpg,,T T,data/images_paintings/1134.jpg
1135,2914 ,Troyon constant, (1810-1865). ,la barrière,117.0,90.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002651/14-531282.jpg,,T T,data/images_paintings/1135.jpg
1136,2915 ,Troyon constant, (1810-1865). ,la rencontre des troupeaux,,,,,T T,
1137,2916 ,Troyon constant, (1810-1865). ,les hauteurs de suresnes,,,,,T T,
1138,116,Troyon constant, (1810-1865). ,berger ramenant son troupeau,35.5,46.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002638/15-655872.jpg,,Musée Charles X S III,data/images_paintings/1138.jpg
1139,119,Troyon constant, (1810-1865). ,en route pour le marché,32.5,40.5,,,Coll Chauchard galerie,
1140,121,Troyon constant, (1810-1865). ,le retour à la ferme,261.0,391.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002660/15-511717.jpg,,Coll Chauchard galerie,data/images_paintings/1140.jpg
1141,122,Troyon constant, (1810-1865). ,le garde chasse arrêté près de ses chiens,,,,,Coll Chauchard galerie,data/images_paintings/1141.jpg
1142,123,Troyon constant, (1810-1865). ,le garde chasse conduisant un relais,,,,,Coll Chauchard galerie,
1143,124,Troyon constant, (1810-1865). ,le retour du marché,,,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/07200000919/0000963.jpg,,Coll Chauchard galerie,data/images_paintings/1143.jpg
1144,125,Troyon constant, (1810-1865). ,les bœufs allant au labour,90.0,60.0,,,Coll Chauchard galerie,
1145,126,Troyon constant, (1810-1865). ,la vache rousse broutant,,,,,Coll Chauchard galerie,
1146,127,Troyon constant, (1810-1865). ,la vache blanche au pâturage,,,,,Coll Chauchard galerie,
1147,128,Troyon constant, (1810-1865). ,la mare aux canards,82.0,57.0,,,Coll Chauchard galerie,
1148,1130,Troyon constant, (1810-1865). ,pâturage vallée de la toucques galerie  131  — vaches au repos — ii il32,,,,,Musée Charles X S III,
1149,133,Troyon constant, (1810-1865). ,le passage du gué,165.0,115.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002658/10-517423.jpg,,Musée Charles X S III,data/images_paintings/1149.jpg
1150,890 a ,Trutat félix, (1824-1848). ,femme nue,,,,,E F XIXe S 2e étage II,
1151,892 ,Valenciennes pierre henri, (1750-1819). ,cicéron étant questeur en sicile découvre le tombeau d'archimède,,,,,E F XIXe S 1er étage I,
1152,893 ,Vallayer coster mille anne, (1744-1818). ,les attributs de la peinture et de la sculpture,121.0,90.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Attributs_de_la_peinture%2C_de_la_sculpture_et_de_l%27architecture_-_Anne_Vallayer-Coster.jpg/1200px-Attributs_de_la_peinture%2C_de_la_sculpture_et_de_l%27architecture_-_Anne_Vallayer-Coster.jpg,,IVe S Meubles XVIIIe,data/images_paintings/1152.jpg
1153,894 ,Vallayer coster mille anne, (1744-1818). ,les attributs de la musique,,,,,IVe S Meubles XVIIIe,
1154,895 ,Van loo jean baptiste, ( 1684-1745). ,institution de l'ordre du saint esprit par henri iii dans l'église du couvent des grands augustins à paris le 31 décembre i 78,,,,S,XVI,
1155,899 ,Van loo charles andré, (1705-1765). ,un déjeuner de chasse,,,,S,XV,
1156,900 ,Van loo charles andré, (1705-1765). ,portrait de marie leczinska reine de france lre,,,,,Ire S Meubles XVIIIe,
1157,S N ,Van loo charles andré, (1705-1765). ,portrait de marie leczinska reine de france,,,,,Coll Schlichting,
1158,902 ,Van loo louis michel, (1707-1 ï7 1). ,portrait de l'architecte jacques germain soufflot,,,,N,XVI,
1159,S N ,Van loo louis michel, (1707-1 ï7 1). ,portrait de benoit loys,,,,,V,
1160,S N ,Van loo louis michel, (1707-1 ï7 1). ,portrait de diderot,,,,S,XVI,
1161,905 ,Van loo charles amédée philippe, (1719-1795). ,toilette d'une sultane,380.0,320.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002821/12-548347.jpg,N,XVI,data/images_paintings/1161.jpg
1162,910 ,Verdier françois, (1651-1730). ,mercure endormant argus,,,,S,XVI,
1163,912 ,Vernet claude joseph, (1714-1789). ,marine le naufrage,,,,,Esc Henri IV,
1164,918 ,Vernet claude joseph, (1714-1789). ,paysage le matin   lre,,,,,Ire S Meubles XVIIIe,
1165,918 a ,Vernet claude joseph, (1714-1789). ,paysage le midi effet d'orage,,,,,Musée Charles X S III,
1166,919 ,Vernet claude joseph, (1714-1789). ,paysage le soir 1er,,,,,Ire S Meubles XVIIIe,
1167,920 ,Vernet claude joseph, (1714-1789). ,marine la nuit,,,,,Ire S Meubles XVIIIe,
1168,921 ,Vernet claude joseph, (1714-1789). ,paysage les baigneuses,,,,E,XVI,
1169,923 ,Vernet claude joseph, (1714-1789). ,paysage construction d'un grand chemin,,,,E,XVI,
1170,924 ,Vernet claude joseph, (1714-1789). ,vue des cascatelles de tivoli,,,,,Marine,
1171,927 ,Vernet claude joseph, (1714-1789). ,marine le midi ou le calme,,,,,Marine,
1172,928 ,Vernet claude joseph, (1714-1789). ,marine le soir ou la tempête,,,,,Marine,
1173,930 ,Vernet claude joseph, (1714-1789). ,marine effet de clair de lune,,,,S,XVI,
1174,931 ,Vernet claude joseph, (1714-1789). ,marine le midi,65.0,44.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/00000106435/16-578568.jpg,N,XVI,data/images_paintings/1174.jpg
1175,932 ,Vernet claude joseph, (1714-1789). ,marine effet de soleil couchant,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Lille_PdBA_vernet_marine_temps_calme.JPG/1200px-Lille_PdBA_vernet_marine_temps_calme.JPG,S,XVI,data/images_paintings/1175.jpg
1176,935 ,Vernet claude joseph, (1714-1789). ,vue du pont et du château saint ange à rome,,,,N,XVI,
1177,956 ,Vernet emile jean horace, ^1789-18631. ,la barrière de clichy défense de paris en 1814,,,,,E F XIXe S 2e étage II,
1178,958 a ,Vernet emile jean horace, ^1789-18631. ,portrait de jean baptiste isabey peintre en miniature,,,,,E F XIXe S 1er étage III,
1179,959 ,Vestier antoine, (1740-1824). ,portrait de la femme du peintre,,,,S,XVI,
1180,961 ,Vestier antoine, (1740-1824). ,portrait de jeune femme,,,,E,I,data/images_paintings/1180.jpg
1181,963 ,Vestier antoine, (1740-1824). ,portrait du peintre gabriel françois doyen,,,,E,XVI,
1182,964 ,Vien joseph marie, (1716-1809). ,saint germain évêque d'auxerre et saint vincent diacre de l'église de saragosse,,,,N,XV,
1183,968 ,Vincent françois andré, (1746-1816). ,zeuxis choisissant pour modèles les plus belles filles de la ville de crotone,,,,S,XVI,
1184, ,Vinchon auguste   jean baptiste, (1789-1855) ,et gosse nicolas louis françois 1787 1877   huit bas reliefs grisailles  sculpteur grec apelle phidias orphée poète dramatique et acteur origine du chapiteau corinthien origine du dessin décadence des arts en grèce dessous de corniche,,,,,Musée Charles X S IV,
1185, ,Vinchon auguste   jean baptiste, (1789-1855) ,huit bas reliefs grisailles pline observant le vésuve prêtres de pompei habitants fuyant de pompei le vésuve renversant les villes de la campanie philosophe cynique anacréon jeune fille et sorcière toilette dessous de corniche,,,,,Musée Charles X S VII,
1186, ,Vinchon auguste   jean baptiste, (1789-1855) ,onze bas reliefs grisailles représentant différentes scènes de a vie civile des anciens dessous de la corniche — angles des voussures  débris de meubles trouvés à pompei et herculanum — salle viii — huit bas reliefs grisailles  homère chantant honneurs rendus à homère départ d'ulysse ulysse chez circé ulysse reconnu par pénélope thétis consolant achille thétis donnant des armes à achille diomède blesse vénus dessous de corniche,,,,,Musée Charles X S IX,
1187,S N ,Vivien joseph, (1657-1735). ,portrait du duc de bourgogne pastel,,,,,S des Pastels,
1188,S N ,Vivien joseph, (1657-1735). ,portrait du duc de bourgogne en cuirasse décoré de l'ordre du saint esprit pastel,,,,,S des Pastels,
1189,969 ,Voiriot guillaume, (1713- 1799). ,portrait du peintre jean marc nattier,,,,S,XVI,
1190,971 ,Vouet simon, (1590-1649). ,la présentation de jésus au temple xiv 0,,,,S,XVI,
1191,972 ,Vouet simon, (1590-1649). ,la vierge l'enfant jésus et saint jean,130.0,182.0,https://upload.wikimedia.org/wikipedia/commons/c/c2/Simon_Vouet_-_The_Holy_Family_with_Sts_Elizabeth%2C_John_the_Baptist_and_Catherine_-_WGA25346.jpg,,XII,data/images_paintings/1191.jpg
1192,973 ,Vouet simon, (1590-1649). ,le christ en croix,122.0,195.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002914/05-529028.jpg,N,XIV,data/images_paintings/1192.jpg
1193,977 ,Vouet simon, (1590-16191. ,la richesse,124.0,170.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Simon_Vouet_001.jpg/1200px-Simon_Vouet_001.jpg,S,XIV,data/images_paintings/1193.jpg
1194,978 ,Vouet simon, (1590-16191. ,la foi,,,,S,XIV,
1195,979 ,Vouet simon, (1590-16191. ,la victoire debout tenant une couronne de laurier ,,,,S,XIV,
1196,980 ,Vouet simon, (1590-16191. ,l'eloquence ,100.0,81.0,https://upload.wikimedia.org/wikipedia/commons/4/44/Polyhymnia%2C_Muse_of_Eloquence_by_Simon_Vouet.jpg,E,I,data/images_paintings/1196.jpg
1197,982 ,Watteau jean antoine, (1684-1721). ,l'embarquement pour l'île de cythère,,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/L%27Embarquement_pour_Cythere%2C_by_Antoine_Watteau%2C_from_C2RMF_retouched.jpg/1200px-L%27Embarquement_pour_Cythere%2C_by_Antoine_Watteau%2C_from_C2RMF_retouched.jpg,N,XVI,data/images_paintings/1197.jpg
1198,983 ,Watteau jean antoine, (1684-1721). ,gilles,149.5,184.5,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Jean-Antoine_Watteau_-_Pierrot%2C_dit_autrefois_Gilles.jpg/1200px-Jean-Antoine_Watteau_-_Pierrot%2C_dit_autrefois_Gilles.jpg,O,I,data/images_paintings/1198.jpg
1199,985 ,Watteau jean antoine, (1684-172 r). ,la finette,19.0,25.5,https://upload.wikimedia.org/wikipedia/commons/9/9b/Antoine_Watteau_-_La_Finette_-_WGA25469.jpg,O,I,data/images_paintings/1199.jpg
1200,986 ,Watteau jean antoine, (1684-172 r). ,assemblée dans un parc,46.5,32.5,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Antoine_Watteau_033.jpg/1200px-Antoine_Watteau_033.jpg,O,I,data/images_paintings/1200.jpg
1201,988 ,Watteau jean antoine, (1684-172 r). ,le jugement de paris esquisse,,,,O,I,
1202,989 ,Watteau jean antoine, (1684-172 r). ,le faux pas esquisse,,,,O,I,
1203,990 ,Watteau jean antoine, (1684-172 r). ,l'automne esquisse,,,,O,I,
1204,991 ,Watteau jean antoine, (1684-172 r). ,jupiter et antiope,107.5,73.5,https://upload.wikimedia.org/wikipedia/commons/e/e1/Watteau_Jupiter_und_Antiope.jpg,O,I,data/images_paintings/1204.jpg
1205,992 ,Watteau jean antoine, (1684-172 r). ,pastorale esquisse attribué,,,,O,I,
1206,S N ,Watteau jean antoine, (1684-172 r). ,portrait d'homme âgé,,,,N,XVI,
1207,993 a ,Winterhalter f xavier, (1806-1873). ,portrait de mme rimsky korsakow,,,,,E F XIXe S 1er étage II,
1208,S N ,Winterhalter f xavier, (1806-1873). ,portrait de l'impératrice eugénie,,,,,E F XIXe S 1er étage III,
1209,134,Ziem félix, ( 1821-1911 ). ,grand voilier en vue de venise,110.0,69.0,,,Coll Chauchard galerie,
1210,136,Ziem félix, ( 1821-1911 ). ,venise la giudecca,,,,,Coll Chauchard galerie,
1211,137,Ziem félix, ( 1821-1911 ). ,l'embarcadère au palais ducal,,,,,Coll Chauchard galerie,
1212,1381,Ziem félix, ( 1821-1911 ). ,venise le grand canal près de,80.0,54.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE002944/08-544563a.jpg,,Coll Chauchard galerie,data/images_paintings/1212.jpg
1213,139,Ziem félix, ( 1821-1911 ). ,barque à venise le soir,,,,,Coll Chauchard galerie,
1214,140,Ziem félix, ( 1821-1911 ). ,un caïque constantinople,,,,,Coll Chauchard galerie,
1215,994 ,Règne de charles vi, (1380-1422). ,panneau peint des deux côtés sur une face saint pierre et saint paul sur l'autre la flagellation du christ fragment de retable,,,,,X,
1216,996 ,Règne de charles vi, (1380-1422). ,le christ mort soutenu par le père eternel pleuré par la vierge saint jean et les anges,,,,,Musée Charles X S III,data/images_paintings/1216.jpg
1217,996 a ,Règne de charles vi, (1380-1422). ,une «pitié» de notre seigneur,,,,,Musée Charles X S III,
1218,997 ,Règne de charles vi, (1380-1422). ,la mise au tombeau ,,,,,X,
1219,S N ,Règne de charles vi, (1380-1422). ,la vierge à l'écritoire vers 1400,,,,,X,
1220,1107 ,Albani francesco, (1578-1660). ,la toilette de vénus,252.0,202.0,https://upload.wikimedia.org/wikipedia/commons/a/a1/Francesco_Albani_-_TOilet_of_Venus_-_WGA0112.jpg,N,VI tr B,data/images_paintings/1220.jpg
1221,1109 ,Albani francesco, (1578-1660). ,les amours désarmés,251.0,202.0,https://upload.wikimedia.org/wikipedia/commons/5/5e/Francesco_Albani_-_The_Cupids_Disarmed_-_WGA0113.jpg,N,VI tr B,data/images_paintings/1221.jpg
1222,1111 ,Albani francesco, (1578-1660). ,diane et actéon,,,,N,VI tr B,
1223,1113 ,Albani francesco, (1578-1660). ,salmacis et hermaphrodite ■,31.0,14.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Hermaphroditus_Salmacis_Albani_Louvre_INV19.jpg/1200px-Hermaphroditus_Salmacis_Albani_Louvre_INV19.jpg,N,VI tr D,data/images_paintings/1223.jpg
1224,1114 ,Albertinelli mariotto, (1474-1515). ,la vierge et l'enfant,176.0,186.0,https://upload.wikimedia.org/wikipedia/commons/0/01/Albertinelli_Franciabigio_Vi%C3%A8rge_et_saints.jpg,N,VI tr A,data/images_paintings/1224.jpg
1225,1115 ,Albertinelli mariotto, (1474-1515). ,le christ apparaissant à la madeleine,,,,N,VI tr A,
1226,1117 ,Allegri antonio da correggio, (1494- 1534). ,mariage mystique de sainte catherine d'alexandrie,102.0,105.0,https://upload.wikimedia.org/wikipedia/commons/8/85/Correggio_-_Mystic_Marriage_of_Saint_Catherine_with_Saint_Sebastian_-_Louvre.jpg,S,VI tr C,data/images_paintings/1226.jpg
1227,1118 ,Allegri antonio da correggio, (1494- 1534). ,l'antiope,,,,,IV,data/images_paintings/1227.jpg
1228,S N ,Allegri antonio da correggio, (1494- 1534). ,allégorie des vertus gouache,,,,N,VI tr B,
1229,1119 ,Allori christoforo, (1577-1621). ,isabelle d'aragon aux pieds de charles viii l'implore en faveur de son père et de son mari,,,,N,VI tr B,
1230,1121 ,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,la mort de la vierge,,,,N,VI tr D,
1231,1122 ,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,la diseuse de bonne aventure,,,,N,VI tr D,
1232,1123 ,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,concert,,,,N,VI tr D,
1233,1124 ,Amerighi exactement merisi, (vers 1560 ou 1500-1600). ,portait d'alof de wignacourt grand maître de malte en 1601,,,,N,VI tr D,data/images_paintings/1233.jpg
1234,1126 ,"Angeli filippo ""d""", (1600-1660). ,le satyre et le paysan,,,,N,VI tr D,
1235,1127 ,Angeli giuseppe, (1715?-!795?). ,le petit tambour vi tr d n angelico fra voir fiesole 1128 ansano ou sano di pietro 1406 1481,,,,O,Musée Charles X S III,
1236,1129 ,Angeli giuseppe, (1715?-!795?). ,saint jérôme agenouillé dans le désert,,,,O,VII,
1237,1130 ,Angeli giuseppe, (1715?-!795?). ,saint jérôme et le lion,,,,O,VII,
1238,1131 ,Angeli giuseppe, (1715?-!795?). ,mort de saint jérôme,,,,O,VII,
1239,1132 ,Angeli giuseppe, (1715?-!795?). ,apparition de saint jérôme à sulpice sévère et apparition de saint jérôme et de saint jean à saint augustin,,,,O,VII,
1240,1134 ,Antonello degli antoni dit antonello de messine, (1430-1479). ,portrait d'homme dit le condottiere,,,,S,VI tr A,data/images_paintings/1240.jpg
1241,S Nu ,Antoniazzo romano ant aquili dit, (2TUE moitié du XVe siècle). ,la vierge et l'enfant,,,,N,VI tr A,
1242,1134 b ,Baldovinetti alessio, (1427-1499). ,la vierge et l'enfant,75.0,106.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Alesso_baldovinetti%2C_madonna_col_bambino%2C_1464_ca._01.JPG/1200px-Alesso_baldovinetti%2C_madonna_col_bambino%2C_1464_ca._01.JPG,E,VII,data/images_paintings/1242.jpg
1243,1571 ,Balducci matteo, (commencement du XVIe siècle). ,le jugement de salomon attribué,,,,N,VI tr A,
1244,1572 ,Balducci matteo, (commencement du XVIe siècle). ,le jugement de daniel attribué ,,,,N,VI tr A,
1245,1135 ,Barbarelli giorgio, (1477 ou 1478- 1510). ,sainte famille,,,,S,VI tr B,data/images_paintings/1245.jpg
1246,1136 ,Barbarelli giorgio, (1477 ou 1478- 1510). ,concert champêtre,,,,S,VI tr C,
